timestamp,pod_count,cpu_usage,memory_usage,requests_per_second,response_time
02:57:11,       0,0,0,2.0,0
02:57:13,       0,0,0,2.0,0
02:57:15,       0,0,0,2.0,0
02:57:18,       0,0,0,2.0,0
02:57:20,       0,0,0,2.0,0
02:57:22,       0,0,0,2.0,0
02:57:24,       0,0,0,2.0,0
02:57:26,       0,0,0,2.0,0
02:57:28,       0,0,0,2.0,0
02:57:30,       0,0,0,2.0,0
02:57:32,       0,0,0,2.0,0
02:57:34,       0,0,0,2.0,0
02:57:36,       0,0,0,2.0,0
02:57:38,       0,0,0,2.0,0
02:57:40,       0,0,0,2.0,0
02:57:42,       0,0,0,2.0,0
02:57:44,       0,0,0,2.0,0
02:57:47,       0,0,0,2.0,0
02:57:49,       0,0,0,2.0,0
02:57:51,       0,0,0,2.0,0
02:57:53,       0,0,0,2.0,0
02:57:55,       0,0,0,2.0,0
02:57:57,       0,0,0,2.0,0
02:57:59,       0,0,0,2.0,0
02:58:01,       0,0,0,2.0,0
02:58:03,       0,0,0,2.0,0
02:58:05,       0,0,0,2.0,0
02:58:07,       0,0,0,2.0,0
02:58:09,       0,0,0,2.0,0
02:58:11,       0,0,0,2.0,0
